parser0            parser1            seed                 testcase                  output0  output1
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2b,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2c,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2d,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2f,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2g,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2h,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2i,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2j,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2k,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2l,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2m,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2n,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2o,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2p,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2q,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2r,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2s,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2t,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2u,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2v,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2w,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2x,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2y,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2z,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2{,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2|,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2~,"😀":3}          2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2!2,"😀":3}         2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2!^,"😀":3}         2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2!~,"😀":3}         2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2"","😀":3}         2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2","😀",:3}         2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2","😀":3"}         2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2","😀":3{}         2        3
c_frozen           c_jsmn             {"😀":2,"😀":3}      {"😀":2",,"😀":3}         2        3
c_frozen           c_json_c           {"q":2,"q":3}        {"q":2,"\u0071":3}        2        3
c_frozen           c_json_c           {"q":2,"q":3}        {"q":2,"q\u0000":3}       2        3
c_frozen           c_json_c           {"😀":2,"😀":3}      {"😀":2,"😀\u0000":3}     2        3
c_frozen           c_json_parser      {"q":2,"q":3}        {"q":2,"\q":3}            2        3
c_frozen           c_json_parser      {"q":2,"q":3}        {"q":2,"\u0071":3}        2        3
c_frozen           c_mjson            {"q":2,"q":3}        {"q":2,"q":3}             3        2
c_frozen           cpp_boost          {"q":2,"q":3}        {"q":2,"\u0071":3}        2        3
c_frozen           cpp_mongoose       {"q":2,"q":3}        {"q":2,"q":3}             3        2
c_frozen           cpp_nlohmann       {"q":2,"q":3}        {"q":2,"\u0071":3}        2        3
c_frozen           cpp_poco           {"q":2,"q":3}        {"q":2,"\u0071":3}        2        3
c_frozen           cpp_poco           {"q":2,"q":3}        {"q":2,"q\u0000":3}       2        3
c_frozen           cpp_poco           {"😀":2,"😀":3}      {"😀":2,"😀\u0000":3}     2        3
c_frozen           cpp_yajl           {"q":2,"q":3}        {"q":2,"\u0071":3}        2        3
c_frozen           dotnet_newtonsoft  {"q":2,"q":3}        {"q":2,"Q":3}             2        3
c_frozen           dotnet_newtonsoft  {"q":2,"q":3}        {"q":2,"q"\x00:3}         2        3
c_frozen           dotnet_newtonsoft  {"q":2,"q":3}        {"q":2,\x00"q":3}         2        3
c_frozen           dotnet_newtonsoft  {"q":2,"q":3}        {"q":2\x00,"q":3}         2        3
c_frozen           dotnet_newtonsoft  {"q":2,"q":3}        {"q":2,"\u0051":3}        2        3
c_frozen           dotnet_newtonsoft  {"q":2,"q":3}        {"q":2,"\u0071":3}        2        3
c_frozen           dotnet_newtonsoft  {"q":2,"q":3}        {"q":2,"q"\f\x00:3}       2        3
c_frozen           dotnet_newtonsoft  {"q":2,"q":3}        {"q":2,"q"\r\x00:3}       2        3
c_frozen           dotnet_newtonsoft  {"q":2,"q":3}        {"q":2,"q"\v\x00:3}       2        3
c_frozen           dotnet_newtonsoft  {"q":2,"q":3}        {"q":2,"q":\xc2\x853}     2        3
c_frozen           dotnet_newtonsoft  {"q":2,"q":3}        {"q":2,"q"\x00\x00:3}     2        3
c_frozen           dotnet_newtonsoft  {"q":2,"q":3}        {"q":2,"q"\xc2\x85:3}     2        3
c_frozen           dotnet_newtonsoft  {"q":2,"q":3}        {"q":2,"q"\xc2\xa0:3}     2        3
c_frozen           dotnet_newtonsoft  {"q":2,"q":3}        {"q":2,\x00\x00"q":3}     2        3
